STATION,STATION_NAME,DATE,PRCP,SNOW,TMAX,AWND
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150711,0.00,0.0,88,2.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150712,0.00,0.0,89,2.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150713,0.00,0.0,88,2.7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150714,0.42,0.0,82,2.7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150715,0.12,0.0,81,4.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150716,0.00,0.0,80,5.6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150717,0.00,0.0,81,3.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150718,0.32,0.0,85,4.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150719,0.00,0.0,93,3.1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150720,0.00,0.0,94,4.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150721,0.00,0.0,89,2.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150722,0.00,0.0,85,5.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150723,0.00,0.0,86,3.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150724,0.00,0.0,87,2.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150725,0.00,0.0,88,3.1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150726,0.00,0.0,90,4.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150727,0.36,0.0,86,2.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150728,0.00,0.0,95,2.7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150729,0.00,0.0,96,3.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150730,1.95,0.0,87,4.3
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150731,0.00,0.0,89,3.4
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150801,0.00,0.0,89,4.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150802,0.00,0.0,89,2.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150803,0.00,0.0,90,4.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150804,0.43,0.0,89,5.4
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150805,0.00,0.0,87,2.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150806,0.00,0.0,83,2.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150807,0.00,0.0,84,5.4
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150808,0.00,0.0,82,3.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150809,0.00,0.0,85,3.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150810,0.00,0.0,84,4.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150811,1.17,0.0,81,4.3
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150812,0.00,0.0,85,4.7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150813,0.00,0.0,83,3.1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150814,0.00,0.0,88,2.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150815,0.00,0.0,92,3.4
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150816,0.00,0.0,93,1.6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150817,0.00,0.0,95,3.4
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150818,0.29,0.0,90,4.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150819,0.00,0.0,87,4.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150820,0.01,0.0,86,5.6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150821,0.32,0.0,87,4.3
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150822,0.00,0.0,86,4.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150823,0.00,0.0,85,4.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150824,0.00,0.0,87,2.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150825,0.00,0.0,90,3.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150826,0.00,0.0,85,3.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150827,0.00,0.0,82,3.1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150828,0.00,0.0,82,2.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150829,0.00,0.0,87,2.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150830,0.13,0.0,90,4.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150831,0.00,0.0,91,4.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150901,0.00,0.0,90,2.2
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150902,0.00,0.0,91,1.8
